tray,pos,hpi,genotype,cluster,size
1,B_10,0,lacs,Healthy,0.9896907216494846
1,B_10,24,lacs,Healthy,0.9885350318471338
1,B_10,48,lacs,Healthy,0.984
1,B_10,72,lacs,Healthy,0.9368246051537822
1,B_10,96,lacs,Healthy,0.7321428571428571
1,B_11,0,lacs,Healthy,0.9289687633718442
1,B_11,24,lacs,Healthy,0.9090541632983024
1,B_11,48,lacs,Healthy,0.8747993579454254
1,B_11,72,lacs,Healthy,0.81328125
1,B_11,96,lacs,Healthy,0.6258503401360545
1,B_12,0,lacs,Healthy,0.9874643874643875
1,B_12,24,lacs,Healthy,0.9635499207606973
1,B_12,48,lacs,Healthy,0.7088866189989785
1,B_12,72,lacs,Healthy,0.5010319917440661
1,B_12,96,lacs,Healthy,0.3830665978316985
1,C_01,0,cyp,Healthy,0.987220447284345
1,C_01,24,cyp,Healthy,0.98580375782881
1,C_01,48,cyp,Healthy,0.8114820846905537
1,C_01,72,cyp,Healthy,0.5216459494213459
1,C_01,96,cyp,Healthy,0.2632549562010143
1,C_02,0,cyp,Healthy,0.9969643308879332
1,C_02,24,cyp,Healthy,0.938860103626943
1,C_02,48,cyp,Healthy,0.62475
1,C_02,72,cyp,Healthy,0.15427302996670367
1,C_02,96,cyp,Healthy,0.15331807780320367
1,C_03,0,cyp,Healthy,0.9979534407776925
1,C_03,24,cyp,Healthy,0.9261522790934555
1,C_03,48,cyp,Healthy,0.7230411171450737
1,C_03,72,cyp,Healthy,0.3315607551183196
1,C_03,96,cyp,Healthy,0.09682165979988229
1,C_04,0,cyp,Healthy,0.9928355957767723
1,C_04,24,cyp,Healthy,0.9336455893832943
1,C_04,48,cyp,Healthy,0.5396825396825397
1,C_04,72,cyp,Healthy,0.16279069767441862
1,C_04,96,cyp,Healthy,0.0951048951048951
1,C_05,0,cyp,Healthy,0.9976653696498055
1,C_05,24,cyp,Healthy,0.9903614457831326
1,C_05,48,cyp,Healthy,0.6684027777777778
1,C_05,72,cyp,Healthy,0.298845836768343
1,C_05,96,cyp,Healthy,0.18281455501972818
1,C_06,0,cyp,Healthy,0.99019207192480585
1,C_06,24,cyp,Healthy,0.9150828952689042
1,C_06,48,cyp,Healthy,0.681453154875717
1,C_06,72,cyp,Healthy,0.415146708961142
1,C_06,96,cyp,Healthy,0.24948453608247423
1,C_07,0,cyp,Healthy,0.9686016794450529
1,C_07,24,cyp,Healthy,0.8455130632336236
1,C_07,48,cyp,Healthy,0.6278755074424899
1,C_07,72,cyp,Healthy,0.2649115590292061
1,C_07,96,cyp,Healthy,0.10596310596310596
1,C_08,0,cyp,Healthy,0.9730656219392753
1,C_08,24,cyp,Healthy,0.8058025269068788
1,C_08,48,cyp,Healthy,0.48365122615803813
1,C_08,72,cyp,Healthy,0.21062106210621062
1,C_08,96,cyp,Healthy,0.09485981308411215
1,C_09,0,cyp,Healthy,0.9661131819722129
1,C_09,24,cyp,Healthy,0.9150841992117521
1,C_09,48,cyp,Healthy,0.5818452380952381
1,C_09,72,cyp,Healthy,0.2747591522157996
1,C_09,96,cyp,Healthy,0.13150105708245244
1,C_10,0,cyp,Healthy,0.9810126582278481
1,C_10,24,cyp,Healthy,0.8876984126984127
1,C_10,48,cyp,Healthy,0.6727772685609532
1,C_10,72,cyp,Healthy,0.23231542327019714
1,C_10,96,cyp,Healthy,0.08704137392661983
1,C_11,0,cyp,Healthy,0.9969660194174758
1,C_11,24,cyp,Healthy,0.9664043583535109
1,C_11,48,cyp,Healthy,0.5652709359605911
1,C_11,72,cyp,Healthy,0.23069936421435058
1,C_11,96,cyp,Healthy,0.06268756252084028
1,C_12,0,cyp,Healthy,0.9950851900393185
1,C_12,24,cyp,Healthy,0.9190635451505017
1,C_12,48,cyp,Healthy,0.591684434968017
