X,Y,Value
1347,435,3
1348,435,3
1349,435,3
1350,435,3
1351,435,3
1352,435,3
1353,435,3
1354,435,3
1355,435,3
1356,435,3
1357,435,3
1358,435,3
1359,435,3
1360,435,3
1361,435,3
1362,435,3
1363,435,3
1364,435,3
1365,435,3
1366,435,3
1367,435,3
1368,435,3
1369,435,3
1370,435,3
1371,435,3
1372,435,3
1373,435,3
1374,435,3
1375,435,3
1376,435,3
1377,435,3
1378,435,3
1379,435,3
1380,435,3
1381,435,3
1382,435,3
1383,435,3
1384,435,3
1385,435,3
1386,435,3
1387,435,3
1388,435,3
1389,435,3
1390,435,3
1391,435,3
1392,435,3
1393,435,3
1394,435,3
1395,435,3
1396,435,3
1397,435,3
1398,435,3
1399,435,3
1400,435,3
1401,435,3
1402,435,3
1403,435,3
1404,435,3
1405,435,3
1406,435,3
1407,435,3
1408,435,3
1409,435,3
1410,435,3
1411,435,3
1412,435,3
1413,435,3
1414,435,3
1415,435,3
1416,435,3
1417,435,3
1418,435,3
1419,435,3
1420,435,3
1421,435,3
1422,435,3
1423,435,3
1424,435,3
1425,435,3
1426,435,3
1427,435,3
1428,435,3
1429,435,3
1430,435,3
1431,435,3
1432,435,3
1433,435,3
1434,435,3
1435,435,3
1436,435,3
1437,435,3
1438,435,3
1439,435,3
1440,435,3
1441,435,3
1442,435,3
1443,435,3
1444,435,3
1445,435,3
1446,435,3
1447,435,3
1448,435,3
1449,435,3
1450,435,3
1451,435,3
1452,435,3
1453,435,3
1454,435,3
1455,435,3
1456,435,3
1457,435,3
1458,435,3
1459,435,3
1460,435,3
1461,435,3
1462,435,3
1463,435,3
1464,435,3
1465,435,3
1466,435,3
1467,435,3
1468,435,3
1469,435,3
1470,435,3
1471,435,3
1472,435,3
1473,435,3
1474,435,3
1475,435,3
1476,435,3
1477,435,3
1478,435,3
1479,435,3
1480,435,3
1481,435,3
1482,435,3
1483,435,3
1484,435,3
1485,435,3
1486,435,3
1487,435,3
1488,435,3
1489,435,3
1490,435,3
1491,435,3
1492,435,3
1493,435,3
1494,435,3
1495,435,3
1496,435,3
1497,435,3
1498,435,3
1499,435,3
1500,435,3
1501,435,3
1502,435,3
1347,436,3
1348,436,3
1349,436,3
1350,436,3
1351,436,3
1352,436,3
1353,436,3
1354,436,3
1355,436,3
1356,436,3
1357,436,3
1358,436,3
1359,436,3
1360,436,3
1361,436,3
1362,436,3
1363,436,3
1364,436,3
1365,436,3
1366,436,3
1367,436,3
1368,436,3
1369,436,3
1370,436,3
1371,436,3
1372,436,3
1373,436,3
1374,436,3
1375,436,3
1376,436,3
1377,436,3
1378,436,3
1379,436,3
1380,436,3
1381,436,3
1382,436,3
1383,436,3
1384,436,3
1385,436,3
1386,436,3
1387,436,3
1388,436,3
1389,436,3
1390,436,3
1391,436,3
1392,436,3
1393,436,3
1394,436,3
1395,436,3
1396,436,3
1397,436,3
1398,436,3
1399,436,3
1400,436,3
1401,436,3
1402,436,3
1403,436,3
1404,436,3
1405,436,3
1406,436,3
1407,436,3
1408,436,3
1409,436,3
1410,436,3
1411,436,3
1412,436,3
1413,436,3
1414,436,3
1415,436,3
1416,436,3
1417,436,3
1418,436,3
1419,436,3
1420,436,3
1421,436,3
1422,436,3
1423,436,3
1424,436,3
1425,436,3
1426,436,3
1427,436,3
1428,436,3
1429,436,3
1430,436,3
1431,436,3
1432,436,3
1433,436,3
1434,436,3
1435,436,3
1436,436,3
1437,436,3
1438,436,3
1439,436,3
1440,436,3
1441,436,3
1442,436,3
1443,436,3
1444,436,3
1445,436,3
1446,436,3
1447,436,3
1448,436,3
1449,436,3
1450,436,3
1451,436,3
1452,436,3
1453,436,3
1454,436,3
1455,436,3
1456,436,3
1457,436,3
1458,436,3
1459,436,3
1460,436,3
1461,436,3
1462,436,3
1463,436,3
1464,436,3
1465,436,3
1466,436,3
1467,436,3
1468,436,3
1469,436,3
1470,436,3
1471,436,3
1472,436,3
1473,436,3
1474,436,3
1475,436,3
1476,436,3
1477,436,3
1478,436,3
1479,436,3
1480,436,3
1481,436,3
1482,436,3
1483,436,3
1484,436,3
1485,436,3
1486,436,3
1487,436,3
1488,436,3
1489,436,3
1490,436,3
1491,436,3
1492,436,3
1493,436,3
1494,436,3
1495,436,3
1496,436,3
1497,436,3
1498,436,3
1499,436,3
1500,436,3
1501,436,3
1502,436,3
1347,437,3
1348,437,3
1349,437,3
1350,437,3
1351,437,3
1352,437,3
1353,437,3
1354,437,3
1355,437,3
1356,437,3
1357,437,3
1358,437,3
1359,437,3
1360,437,3
1361,437,3
1362,437,3
1363,437,3
1364,437,3
1365,437,3
1366,437,3
1367,437,3
1368,437,3
1369,437,3
1370,437,3
1371,437,3
1372,437,3
1373,437,3
1374,437,3
1375,437,3
1376,437,3
1377,437,3
1378,437,3
1379,437,3
1380,437,3
1381,437,3
1382,437,3
1383,437,3
1384,437,3
1385,437,3
1386,437,3
1387,437,3
1388,437,3
1389,437,3
1390,437,3
1391,437,3
1392,437,3
1393,437,3
1394,437,3
1395,437,3
1396,437,3
1397,437,3
1398,437,3
1399,437,3
1400,437,3
1401,437,3
1402,437,3
1403,437,3
1404,437,3
1405,437,3
1406,437,3
1407,437,3
1408,437,3
1409,437,3
1410,437,3
1411,437,3
1412,437,3
1413,437,3
1414,437,3
1415,437,3
1416,437,3
1417,437,3
1418,437,3
1419,437,3
1420,437,3
1421,437,3
1422,437,3
1423,437,3
1424,437,3
1425,437,3
1426,437,3
1427,437,3
1428,437,3
1429,437,3
1430,437,3
1431,437,3
1432,437,3
1433,437,3
1434,437,3
1435,437,3
1436,437,3
1437,437,3
1438,437,3
1439,437,3
1440,437,3
1441,437,3
1442,437,3
1443,437,3
1444,437,3
1445,437,3
1446,437,3
1447,437,3
1448,437,3
1449,437,3
1450,437,3
1451,437,3
1452,437,3
1453,437,3
1454,437,3
1455,437,3
1456,437,3
1457,437,3
1458,437,3
1459,437,3
1460,437,3
1461,437,3
1462,437,3
1463,437,3
1464,437,3
1465,437,3
1466,437,3
1467,437,3
1468,437,3
1469,437,3
1470,437,3
1471,437,3
1472,437,3
1473,437,3
1474,437,3
1475,437,3
1476,437,3
1477,437,3
1478,437,3
1479,437,3
1480,437,3
1481,437,3
1482,437,3
1483,437,3
1484,437,3
1485,437,3
1486,437,3
1487,437,3
1488,437,3
1489,437,3
1490,437,3
1491,437,3
1492,437,3
1493,437,3
1494,437,3
1495,437,3
1496,437,3
1497,437,3
1498,437,3
1499,437,3
1500,437,3
1501,437,3
1502,437,3
1347,438,3
1348,438,3
1349,438,3
1350,438,3
1351,438,3
1352,438,3
1353,438,3
1354,438,3
1355,438,3
1356,438,3
1357,438,3
1358,438,3
1359,438,3
1360,438,3
1361,438,3
1362,438,3
1363,438,3
1364,438,3
1365,438,3
1366,438,3
1367,438,3
1368,438,3
1369,438,3
1370,438,3
1371,438,3
1372,438,3
1373,438,3
1374,438,3
1375,438,3
1376,438,3
1377,438,3
1378,438,3
1379,438,3
1380,438,3
1381,438,3
1382,438,3
1383,438,3
1384,438,3
1385,438,3
1386,438,3
1387,438,3
1388,438,3
1389,438,3
1390,438,3
1391,438,3
1392,438,3
1393,438,3
1394,438,3
1395,438,3
1396,438,3
1397,438,3
1398,438,3
1399,438,3
1400,438,3
1401,438,3
1402,438,3
1403,438,3
1404,438,3
1405,438,3
1406,438,3
1407,438,3
1408,438,3
1409,438,3
