X,Y,Value
795,1503,3
796,1503,3
797,1503,3
798,1503,3
799,1503,3
800,1503,3
801,1503,3
802,1503,3
803,1503,3
804,1503,3
805,1503,3
806,1503,3
807,1503,3
808,1503,3
809,1503,3
810,1503,3
811,1503,3
812,1503,3
813,1503,3
814,1503,3
815,1503,3
816,1503,3
817,1503,3
818,1503,3
819,1503,3
820,1503,3
821,1503,3
822,1503,3
823,1503,3
824,1503,3
825,1503,3
826,1503,3
827,1503,3
828,1503,3
829,1503,3
830,1503,3
831,1503,3
832,1503,3
833,1503,3
834,1503,3
835,1503,3
836,1503,3
837,1503,3
838,1503,3
839,1503,3
840,1503,3
841,1503,3
842,1503,3
843,1503,3
844,1503,3
845,1503,3
846,1503,3
847,1503,3
848,1503,3
849,1503,3
850,1503,3
851,1503,3
852,1503,3
853,1503,3
854,1503,3
855,1503,3
856,1503,3
857,1503,3
858,1503,3
859,1503,3
860,1503,3
861,1503,3
862,1503,3
863,1503,3
864,1503,3
865,1503,3
866,1503,3
867,1503,3
868,1503,3
869,1503,3
870,1503,3
871,1503,3
872,1503,3
873,1503,3
874,1503,3
875,1503,3
876,1503,3
877,1503,3
878,1503,3
879,1503,3
880,1503,3
881,1503,3
882,1503,3
883,1503,3
884,1503,3
885,1503,3
886,1503,3
887,1503,3
888,1503,3
889,1503,3
890,1503,3
891,1503,3
892,1503,3
893,1503,3
894,1503,3
895,1503,3
896,1503,3
897,1503,3
898,1503,3
899,1503,3
900,1503,3
901,1503,3
902,1503,3
903,1503,3
904,1503,3
905,1503,3
906,1503,3
907,1503,3
908,1503,3
909,1503,3
910,1503,3
911,1503,3
912,1503,3
913,1503,3
914,1503,3
915,1503,3
916,1503,3
917,1503,3
918,1503,3
919,1503,3
920,1503,3
921,1503,3
922,1503,3
923,1503,3
924,1503,3
925,1503,3
926,1503,3
927,1503,3
928,1503,3
929,1503,3
930,1503,3
931,1503,3
932,1503,3
933,1503,3
934,1503,3
935,1503,3
936,1503,3
937,1503,3
938,1503,3
939,1503,3
940,1503,3
941,1503,3
942,1503,3
943,1503,3
944,1503,3
945,1503,3
946,1503,3
947,1503,3
948,1503,3
949,1503,3
950,1503,3
795,1504,3
796,1504,3
797,1504,3
798,1504,3
799,1504,3
800,1504,3
801,1504,3
802,1504,3
803,1504,3
804,1504,3
805,1504,3
806,1504,3
807,1504,3
808,1504,3
809,1504,3
810,1504,3
811,1504,3
812,1504,3
813,1504,3
814,1504,3
815,1504,3
816,1504,3
817,1504,3
818,1504,3
819,1504,3
820,1504,3
821,1504,3
822,1504,3
823,1504,3
824,1504,3
825,1504,3
826,1504,3
827,1504,3
828,1504,3
829,1504,3
830,1504,3
831,1504,3
832,1504,3
833,1504,3
834,1504,3
835,1504,3
836,1504,3
837,1504,3
838,1504,3
839,1504,3
840,1504,3
841,1504,3
842,1504,3
843,1504,3
844,1504,3
845,1504,3
846,1504,3
847,1504,3
848,1504,3
849,1504,3
850,1504,3
851,1504,3
852,1504,3
853,1504,3
854,1504,3
855,1504,3
856,1504,3
857,1504,3
858,1504,3
859,1504,3
860,1504,3
861,1504,3
862,1504,3
863,1504,3
864,1504,3
865,1504,3
866,1504,3
867,1504,3
868,1504,3
869,1504,3
870,1504,3
871,1504,3
872,1504,3
873,1504,3
874,1504,3
875,1504,3
876,1504,3
877,1504,3
878,1504,3
879,1504,3
880,1504,3
881,1504,3
882,1504,3
883,1504,3
884,1504,3
885,1504,3
886,1504,3
887,1504,3
888,1504,3
889,1504,3
890,1504,3
891,1504,3
892,1504,3
893,1504,3
894,1504,3
895,1504,3
896,1504,3
897,1504,3
898,1504,3
899,1504,3
900,1504,3
901,1504,3
902,1504,3
903,1504,3
904,1504,3
905,1504,3
906,1504,3
907,1504,3
908,1504,3
909,1504,3
910,1504,3
911,1504,3
912,1504,3
913,1504,3
914,1504,3
915,1504,3
916,1504,3
917,1504,3
918,1504,3
919,1504,3
920,1504,3
921,1504,3
922,1504,3
923,1504,3
924,1504,3
925,1504,3
926,1504,3
927,1504,3
928,1504,3
929,1504,3
930,1504,3
931,1504,3
932,1504,3
933,1504,3
934,1504,3
935,1504,3
936,1504,3
937,1504,3
938,1504,3
939,1504,3
940,1504,3
941,1504,3
942,1504,3
943,1504,3
944,1504,3
945,1504,3
946,1504,3
947,1504,3
948,1504,3
949,1504,3
950,1504,3
795,1505,3
796,1505,3
797,1505,3
798,1505,3
799,1505,3
800,1505,3
