X,Y,Value
299,78,-100.000
300,78,-100.000
301,78,-100.000
302,78,-100.000
303,78,-100.000
304,78,-100.000
305,78,-100.000
306,78,-100.000
307,78,0.824
308,78,0.833
309,78,0.833
310,78,0.832
311,78,0.839
312,78,0.822
313,78,-100.000
314,78,-100.000
315,78,-100.000
316,78,-100.000
317,78,-100.000
318,78,-100.000
319,78,-100.000
320,78,-100.000
321,78,-100.000
322,78,-100.000
323,78,-100.000
324,78,-100.000
325,78,-100.000
326,78,-100.000
327,78,-100.000
328,78,-100.000
329,78,-100.000
330,78,-100.000
331,78,-100.000
332,78,-100.000
333,78,-100.000
334,78,-100.000
335,78,-100.000
299,79,-100.000
300,79,-100.000
301,79,-100.000
302,79,-100.000
303,79,-100.000
304,79,-100.000
305,79,-100.000
306,79,-100.000
307,79,0.824
308,79,0.833
309,79,0.833
310,79,0.832
311,79,0.839
312,79,0.822
313,79,-100.000
314,79,-100.000
315,79,-100.000
316,79,-100.000
317,79,-100.000
318,79,-100.000
319,79,-100.000
320,79,-100.000
321,79,-100.000
322,79,-100.000
323,79,-100.000
324,79,-100.000
325,79,-100.000
326,79,-100.000
327,79,-100.000
328,79,-100.000
329,79,-100.000
330,79,-100.000
331,79,-100.000
332,79,-100.000
333,79,-100.000
334,79,-100.000
335,79,-100.000
299,80,-100.000
300,80,-100.000
301,80,-100.000
302,80,-100.000
303,80,-100.000
304,80,-100.000
305,80,-100.000
306,80,0.824
307,80,0.819
308,80,0.825
309,80,0.839
310,80,0.832
311,80,0.831
312,80,0.825
313,80,0.836
314,80,-100.000
315,80,-100.000
316,80,-100.000
317,80,-100.000
318,80,-100.000
319,80,-100.000
320,80,-100.000
321,80,-100.000
322,80,-100.000
323,80,-100.000
324,80,-100.000
325,80,-100.000
326,80,-100.000
327,80,-100.000
328,80,-100.000
329,80,-100.000
330,80,-100.000
331,80,-100.000
332,80,-100.000
333,80,-100.000
334,80,-100.000
335,80,-100.000
299,81,-100.000
300,81,-100.000
301,81,-100.000
302,81,-100.000
303,81,-100.000
304,81,-100.000
305,81,-100.000
306,81,0.824
307,81,0.819
308,81,0.825
309,81,0.839
310,81,0.832
311,81,0.831
312,81,0.825
313,81,0.836
314,81,-100.000
315,81,-100.000
316,81,-100.000
317,81,-100.000
318,81,-100.000
319,81,-100.000
320,81,-100.000
321,81,-100.000
322,81,-100.000
323,81,-100.000
324,81,-100.000
325,81,-100.000
326,81,-100.000
327,81,-100.000
328,81,-100.000
329,81,-100.000
330,81,-100.000
331,81,-100.000
332,81,-100.000
333,81,-100.000
334,81,-100.000
335,81,-100.000
299,82,-100.000
300,82,-100.000
301,82,-100.000
302,82,-100.000
303,82,-100.000
304,82,-100.000
305,82,-100.000
306,82,0.819
307,82,0.824
308,82,0.833
309,82,0.839
310,82,0.828
311,82,0.811
312,82,0.817
313,82,0.826
314,82,-100.000
315,82,-100.000
316,82,-100.000
317,82,-100.000
318,82,-100.000
319,82,-100.000
320,82,-100.000
321,82,-100.000
322,82,-100.000
323,82,-100.000
324,82,-100.000
325,82,-100.000
326,82,-100.000
327,82,-100.000
328,82,-100.000
329,82,-100.000
330,82,-100.000
331,82,-100.000
332,82,-100.000
333,82,-100.000
334,82,-100.000
335,82,-100.000
299,83,-100.000
300,83,-100.000
301,83,-100.000
302,83,-100.000
303,83,-100.000
304,83,-100.000
305,83,-100.000
