X,Y,Value
236,354,-100
237,354,-100
238,354,-100
239,354,-100
240,354,-100
241,354,-100
242,354,-100
243,354,-100
244,354,-100
245,354,-100
246,354,-100
247,354,-100
248,354,-100
249,354,-100
250,354,-100
251,354,-100
252,354,-100
253,354,-100
254,354,-100
255,354,-100
256,354,-100
257,354,-100
258,354,-100
259,354,-100
260,354,-100
261,354,-100
262,354,-100
263,354,-100
264,354,-100
265,354,-100
266,354,-100
267,354,-100
268,354,-100
269,354,-100
270,354,-100
271,354,-100
272,354,-100
236,355,-100
237,355,-100
238,355,-100
239,355,-100
240,355,-100
241,355,-100
242,355,-100
243,355,-100
244,355,-100
245,355,-100
246,355,-100
247,355,-100
248,355,-100
249,355,-100
250,355,-100
251,355,-100
252,355,-100
253,355,-100
254,355,-100
255,355,-100
256,355,-100
257,355,-100
258,355,-100
259,355,-100
260,355,-100
261,355,-100
262,355,-100
263,355,-100
264,355,-100
265,355,-100
266,355,-100
267,355,-100
268,355,-100
269,355,-100
270,355,-100
271,355,-100
272,355,-100
236,356,-100
237,356,-100
238,356,-100
239,356,-100
240,356,-100
241,356,-100
242,356,-100
243,356,-100
244,356,-100
245,356,-100
246,356,-100
247,356,-100
248,356,-100
249,356,-100
250,356,-100
251,356,-100
252,356,-100
253,356,-100
254,356,-100
255,356,-100
256,356,-100
257,356,-100
258,356,-100
259,356,-100
260,356,-100
261,356,-100
262,356,-100
263,356,-100
264,356,-100
265,356,-100
266,356,-100
267,356,-100
268,356,-100
269,356,-100
270,356,-100
271,356,-100
272,356,-100
236,357,-100
237,357,-100
238,357,-100
239,357,-100
240,357,-100
241,357,-100
242,357,-100
243,357,-100
244,357,-100
245,357,-100
246,357,-100
247,357,-100
248,357,-100
249,357,-100
250,357,-100
251,357,-100
252,357,-100
253,357,-100
254,357,-100
255,357,-100
256,357,-100
257,357,-100
258,357,-100
259,357,-100
260,357,-100
261,357,-100
262,357,-100
263,357,-100
264,357,-100
265,357,-100
266,357,-100
267,357,-100
268,357,-100
269,357,-100
270,357,-100
271,357,-100
272,357,-100
236,358,-100
237,358,-100
238,358,-100
239,358,-100
240,358,-100
241,358,-100
242,358,-100
243,358,-100
244,358,-100
245,358,-100
246,358,-100
247,358,-100
248,358,-100
249,358,-100
250,358,-100
251,358,-100
252,358,-100
253,358,-100
254,358,-100
255,358,-100
256,358,-100
257,358,-100
258,358,-100
259,358,-100
260,358,-100
261,358,-100
262,358,-100
263,358,-100
264,358,-100
265,358,-100
266,358,-100
267,358,-100
268,358,-100
269,358,-100
270,358,-100
271,358,-100
272,358,-100
236,359,-100
237,359,-100
238,359,-100
239,359,-100
240,359,-100
241,359,-100
242,359,-100
243,359,-100
244,359,-100
245,359,-100
246,359,-100
247,359,-100
248,359,-100
249,359,-100
250,359,-100
251,359,-100
252,359,-100
253,359,-100
254,359,-100
255,359,-100
256,359,-100
257,359,-100
258,359,-100
259,359,-100
260,359,-100
261,359,-100
262,359,-100
263,359,-100
264,359,-100
265,359,-100
266,359,-100
267,359,-100
268,359,-100
269,359,-100
270,359,-100
271,359,-100
272,359,-100
236,360,-100
237,360,-100
238,360,-100
239,360,-100
240,360,-100
241,360,-100
242,360,-100
243,360,-100
244,360,-100
245,360,-100
246,360,-100
247,360,-100
248,360,-100
249,360,-100
250,360,-100
251,360,-100
252,360,-100
253,360,-100
254,360,-100
255,360,-100
256,360,-100
257,360,-100
258,360,-100
259,360,-100
260,360,-100
261,360,-100
262,360,-100
263,360,-100
264,360,-100
265,360,-100
266,360,-100
267,360,-100
268,360,-100
269,360,-100
270,360,-100
271,360,-100
272,360,-100
236,361,-100
237,361,-100
238,361,-100
239,361,-100
240,361,-100
241,361,-100
242,361,-100
243,361,-100
244,361,-100
245,361,-100
246,361,-100
247,361,-100
248,361,-100
249,361,-100
250,361,-100
251,361,-100
252,361,-100
253,361,-100
254,361,-100
255,361,-100
256,361,-100
257,361,-100
258,361,-100
259,361,-100
260,361,-100
261,361,-100
262,361,-100
263,361,-100
264,361,-100
265,361,-100
266,361,-100
267,361,-100
268,361,-100
269,361,-100
270,361,-100
271,361,-100
272,361,-100
236,362,-100
237,362,-100
238,362,-100
239,362,-100
240,362,-100
241,362,-100
242,362,-100
243,362,-100
244,362,-100
245,362,-100
246,362,-100
247,362,-100
248,362,-100
249,362,-100
250,362,-100
251,362,-100
252,362,-100
253,362,-100
254,362,-100
255,362,-100
256,362,-100
257,362,-100
258,362,-100
259,362,-100
260,362,-100
261,362,-100
262,362,-100
263,362,-100
264,362,-100
265,362,-100
266,362,-100
267,362,-100
268,362,-100
269,362,-100
270,362,-100
271,362,-100
272,362,-100
236,363,-100
237,363,-100
238,363,-100
239,363,-100
240,363,-100
241,363,-100
242,363,-100
243,363,-100
244,363,-100
245,363,-100
246,363,-100
247,363,-100
248,363,-100
249,363,-100
250,363,-100
251,363,-100
252,363,-100
253,363,-100
254,363,-100
255,363,-100
256,363,-100
257,363,-100
258,363,-100
259,363,-100
260,363,-100
261,363,-100
262,363,-100
263,363,-100
264,363,-100
265,363,-100
266,363,-100
267,363,-100
268,363,-100
269,363,-100
270,363,-100
271,363,-100
272,363,-100
236,364,-100
237,364,-100
238,364,-100
239,364,-100
240,364,-100
241,364,-100
242,364,-100
243,364,-100
244,364,-100
245,364,-100
246,364,-100
247,364,-100
248,364,-100
249,364,-100
250,364,-100
251,364,-100
252,364,-100
253,364,-100
254,364,-100
255,364,-100
256,364,-100
257,364,-100
258,364,-100
259,364,-100
260,364,-100
261,364,-100
262,364,-100
263,364,-100
264,364,-100
265,364,-100
266,364,-100
267,364,-100
268,364,-100
269,364,-100
270,364,-100
271,364,-100
272,364,-100
236,365,-100
237,365,-100
238,365,-100
239,365,-100
240,365,-100
241,365,-100
242,365,-100
243,365,-100
244,365,-100
245,365,-100
246,365,-100
247,365,-100
248,365,-100
249,365,-100
250,365,-100
251,365,-100
252,365,-100
253,365,-100
254,365,-100
255,365,-100
256,365,-100
257,365,-100
258,365,-100
259,365,-100
260,365,-100
261,365,-100
262,365,-100
263,365,-100
264,365,-100
265,365,-100
266,365,-100
267,365,-100
268,365,-100
269,365,-100
270,365,-100
271,365,-100
272,365,-100
236,366,-100
237,366,-100
238,366,-100
239,366,-100
240,366,-100
241,366,-100
242,366,-100
243,366,-100
244,366,-100
245,366,-100
246,366,0.592
247,366,0.614
248,366,-100
249,366,-100
250,366,-100
251,366,-100
252,366,-100
253,366,-100
254,366,-100
255,366,-100
256,366,-100
257,366,-100
258,366,-100
259,366,-100
260,366,-100
261,366,-100
262,366,-100
263,366,-100
264,366,-100
265,366,-100
266,366,-100
267,366,-100
268,366,-100
269,366,-100
270,366,-100
271,366,-100
272,366,-100
236,367,-100
237,367,-100
238,367,-100
239,367,-100
240,367,-100
241,367,-100
242,367,-100
243,367,-100
244,367,-100
245,367,-100
246,367,0.592
247,367,0.614
248,367,-100
249,367,-100
250,367,-100
251,367,-100
252,367,-100
253,367,-100
254,367,-100
255,367,-100
256,367,-100
257,367,-100
258,367,-100
259,367,-100
260,367,-100
261,367,-100
262,367,-100
263,367,-100
264,367,-100
265,367,-100
266,367,-100
267,367,-100
268,367,-100
269,367,-100
270,367,-100
271,367,-100
272,367,-100
236,368,-100
237,368,-100
238,368,-100
239,368,-100
240,368,-100
241,368,-100
242,368,-100
243,368,0.743
244,368,0.581
245,368,0.634
246,368,0.639
247,368,0.642
