X,Y,Value
238,137,-100
239,137,-100
240,137,-100
241,137,-100
242,137,-100
243,137,-100
244,137,-100
245,137,-100
246,137,-100
247,137,-100
248,137,-100
249,137,-100
250,137,-100
251,137,-100
252,137,-100
253,137,-100
254,137,-100
255,137,-100
256,137,-100
257,137,-100
258,137,-100
259,137,-100
260,137,-100
261,137,-100
262,137,-100
263,137,-100
264,137,-100
265,137,-100
266,137,-100
267,137,-100
268,137,-100
269,137,-100
270,137,-100
271,137,-100
272,137,-100
273,137,-100
274,137,-100
238,138,-100
239,138,-100
240,138,-100
241,138,-100
242,138,-100
243,138,-100
244,138,-100
245,138,-100
246,138,-100
247,138,-100
248,138,-100
249,138,-100
250,138,-100
251,138,-100
252,138,-100
253,138,-100
254,138,-100
255,138,-100
256,138,-100
257,138,-100
258,138,-100
259,138,-100
260,138,-100
261,138,-100
262,138,-100
263,138,-100
264,138,-100
265,138,-100
266,138,-100
267,138,-100
268,138,-100
269,138,-100
270,138,-100
271,138,-100
272,138,-100
273,138,-100
274,138,-100
238,139,-100
239,139,-100
240,139,-100
241,139,-100
242,139,-100
243,139,-100
244,139,-100
245,139,-100
246,139,-100
247,139,-100
248,139,-100
249,139,-100
250,139,-100
251,139,-100
252,139,-100
253,139,-100
254,139,-100
255,139,-100
256,139,-100
257,139,-100
258,139,-100
259,139,-100
260,139,-100
261,139,-100
262,139,-100
263,139,-100
264,139,-100
265,139,-100
266,139,-100
267,139,-100
268,139,-100
269,139,-100
270,139,-100
271,139,-100
272,139,-100
273,139,-100
274,139,-100
238,140,-100
239,140,-100
240,140,-100
241,140,-100
242,140,-100
243,140,-100
244,140,-100
245,140,-100
246,140,-100
247,140,-100
248,140,-100
249,140,-100
250,140,-100
251,140,-100
252,140,-100
253,140,0.808
254,140,0.807
255,140,0.818
256,140,0.828
257,140,0.821
258,140,-100
259,140,-100
260,140,-100
261,140,-100
262,140,-100
263,140,-100
264,140,-100
265,140,-100
266,140,-100
267,140,-100
268,140,-100
269,140,-100
270,140,-100
271,140,-100
272,140,-100
273,140,-100
274,140,-100
238,141,-100
239,141,-100
240,141,-100
241,141,-100
242,141,-100
243,141,-100
244,141,-100
245,141,-100
246,141,-100
247,141,-100
248,141,-100
249,141,-100
250,141,-100
251,141,-100
252,141,-100
253,141,0.808
254,141,0.807
255,141,0.818
256,141,0.828
257,141,0.821
258,141,-100
259,141,-100
260,141,-100
261,141,-100
262,141,-100
263,141,-100
264,141,-100
265,141,-100
266,141,-100
267,141,-100
268,141,-100
269,141,-100
270,141,-100
271,141,-100
272,141,-100
273,141,-100
274,141,-100
238,142,-100
239,142,-100
240,142,-100
241,142,-100
242,142,-100
243,142,-100
244,142,-100
245,142,-100
246,142,-100
247,142,-100
248,142,-100
249,142,-100
250,142,-100
251,142,-100
252,142,0.842
253,142,0.827
254,142,0.828
255,142,0.829
256,142,0.829
257,142,0.827
258,142,0.823
259,142,0.832
260,142,-100
261,142,-100
262,142,-100
263,142,-100
264,142,-100
265,142,-100
266,142,-100
267,142,-100
268,142,-100
269,142,-100
270,142,-100
271,142,-100
272,142,-100
273,142,-100
274,142,-100
238,143,-100
239,143,-100
240,143,-100
241,143,-100
242,143,-100
243,143,-100
244,143,-100
245,143,-100
246,143,-100
247,143,-100
248,143,-100
249,143,-100
250,143,-100
251,143,-100
252,143,0.842
253,143,0.827
254,143,0.828
255,143,0.829
256,143,0.829
257,143,0.827
258,143,0.823
259,143,0.832
260,143,-100
261,143,-100
262,143,-100
263,143,-100
264,143,-100
265,143,-100
266,143,-100
267,143,-100
268,143,-100
269,143,-100
270,143,-100
271,143,-100
272,143,-100
273,143,-100
274,143,-100
238,144,-100
239,144,-100
240,144,-100
241,144,-100
242,144,-100
243,144,-100
244,144,-100
245,144,-100
246,144,-100
247,144,-100
248,144,-100
249,144,-100
250,144,-100
251,144,-100
252,144,0.839
253,144,0.831
254,144,0.825
255,144,0.831
256,144,0.833
257,144,0.826
258,144,0.825
259,144,0.829
260,144,0.822
261,144,-100
262,144,-100
263,144,-100
264,144,-100
265,144,-100
266,144,-100
267,144,-100
268,144,-100
269,144,-100
270,144,-100
271,144,-100
272,144,-100
273,144,-100
274,144,-100
238,145,-100
239,145,-100
240,145,-100
241,145,-100
242,145,-100
243,145,-100
244,145,-100
245,145,-100
246,145,-100
247,145,-100
248,145,-100
249,145,-100
250,145,-100
251,145,-100
252,145,0.839
253,145,0.831
254,145,0.825
255,145,0.831
256,145,0.833
257,145,0.826
258,145,0.825
259,145,0.829
260,145,0.822
261,145,-100
262,145,-100
263,145,-100
264,145,-100
265,145,-100
266,145,-100
267,145,-100
268,145,-100
269,145,-100
270,145,-100
271,145,-100
272,145,-100
273,145,-100
274,145,-100
238,146,-100
239,146,-100
240,146,-100
241,146,-100
242,146,-100
243,146,-100
244,146,-100
245,146,-100
246,146,-100
247,146,-100
248,146,-100
249,146,-100
250,146,-100
251,146,-100
252,146,0.827
253,146,0.818
254,146,0.815
255,146,0.829
256,146,0.830
257,146,0.820
258,146,0.824
259,146,0.823
260,146,0.830
261,146,0.848
262,146,-100
263,146,-100
264,146,-100
265,146,-100
266,146,-100
267,146,-100
268,146,-100
269,146,-100
270,146,-100
271,146,-100
272,146,-100
273,146,-100
274,146,-100
238,147,-100
239,147,-100
240,147,-100
241,147,-100
242,147,-100
243,147,-100
244,147,-100
245,147,-100
246,147,-100
247,147,-100
248,147,-100
249,147,-100
250,147,-100
251,147,-100
252,147,0.827
253,147,0.818
254,147,0.815
255,147,0.829
256,147,0.830
257,147,0.820
258,147,0.824
259,147,0.823
260,147,0.830
261,147,0.848
262,147,-100
263,147,-100
264,147,-100
265,147,-100
266,147,-100
267,147,-100
268,147,-100
269,147,-100
270,147,-100
271,147,-100
272,147,-100
273,147,-100
274,147,-100
238,148,-100
239,148,-100
240,148,-100
241,148,-100
242,148,-100
243,148,-100
244,148,-100
245,148,-100
246,148,-100
247,148,-100
248,148,-100
249,148,-100
250,148,-100
251,148,-100
252,148,0.829
253,148,0.826
254,148,0.821
255,148,0.826
256,148,0.827
257,148,0.825
258,148,0.818
259,148,0.821
260,148,0.825
261,148,0.826
262,148,-100
263,148,-100
264,148,-100
265,148,-100
266,148,-100
267,148,-100
268,148,-100
269,148,-100
270,148,-100
271,148,-100
272,148,-100
273,148,-100
274,148,-100
238,149,-100
239,149,-100
240,149,-100
241,149,-100
242,149,-100
243,149,-100
244,149,-100
245,149,-100
246,149,-100
247,149,-100
248,149,-100
249,149,-100
250,149,-100
251,149,-100
252,149,0.829
253,149,0.826
254,149,0.821
255,149,0.826
256,149,0.827
257,149,0.825
258,149,0.818
259,149,0.821
260,149,0.825
261,149,0.826
262,149,-100
263,149,-100
264,149,-100
265,149,-100
266,149,-100
267,149,-100
268,149,-100
269,149,-100
270,149,-100
271,149,-100
272,149,-100
273,149,-100
274,149,-100
238,150,-100
239,150,-100
240,150,-100
241,150,-100
242,150,-100
243,150,-100
244,150,-100
245,150,-100
246,150,-100
247,150,-100
248,150,-100
249,150,-100
250,150,-100
251,150,-100
252,150,0.828
253,150,0.837
254,150,0.839
255,150,0.830
256,150,0.827
257,150,0.832
258,150,0.819
259,150,0.822
260,150,0.821
261,150,0.810
262,150,0.833
263,150,-100
264,150,-100
265,150,-100
266,150,-100
267,150,-100
268,150,-100
269,150,-100
270,150,-100
271,150,-100
272,150,-100
273,150,-100
274,150,-100
238,151,-100
239,151,-100
240,151,-100
241,151,-100
242,151,-100
243,151,-100
244,151,-100
245,151,-100
246,151,-100
247,151,-100
248,151,-100
249,151,-100
250,151,-100
251,151,-100
252,151,0.828
253,151,0.837
254,151,0.839
255,151,0.830
256,151,0.827
257,151,0.832
258,151,0.819
259,151,0.822
260,151,0.821
261,151,0.810
262,151,0.833
263,151,-100
264,151,-100
265,151,-100
266,151,-100
267,151,-100
268,151,-100
269,151,-100
270,151,-100
271,151,-100
272,151,-100
273,151,-100
274,151,-100
238,152,-100
239,152,-100
240,152,-100
241,152,-100
242,152,-100
243,152,-100
244,152,-100
245,152,-100
246,152,-100
247,152,-100
248,152,-100
249,152,-100
250,152,-100
251,152,-100
252,152,0.833
253,152,0.836
254,152,0.841
255,152,0.834
256,152,0.829
257,152,0.830
258,152,0.827
259,152,0.824
260,152,0.825
261,152,0.822
262,152,0.830
263,152,-100
264,152,-100
265,152,-100
266,152,-100
267,152,-100
268,152,-100
269,152,-100
270,152,-100
271,152,-100
272,152,-100
273,152,-100
274,152,-100
238,153,-100
239,153,-100
240,153,-100
241,153,-100
242,153,-100
243,153,-100
244,153,-100
245,153,-100
246,153,-100
247,153,-100
248,153,-100
249,153,-100
250,153,-100
251,153,-100
252,153,0.833
253,153,0.836
254,153,0.841
255,153,0.834
256,153,0.829
257,153,0.830
258,153,0.827
259,153,0.824
260,153,0.825
261,153,0.822
262,153,0.830
263,153,-100
264,153,-100
265,153,-100
266,153,-100
267,153,-100
268,153,-100
269,153,-100
270,153,-100
271,153,-100
272,153,-100
273,153,-100
274,153,-100
238,154,-100
239,154,-100
240,154,-100
241,154,-100
242,154,-100
243,154,-100
244,154,-100
245,154,-100
246,154,-100
247,154,-100
248,154,-100
249,154,-100
250,154,-100
251,154,-100
252,154,0.833
253,154,0.832
254,154,0.822
255,154,0.825
256,154,0.831
257,154,0.840
258,154,0.823
259,154,0.825
260,154,0.829
261,154,0.831
262,154,0.835
263,154,-100
264,154,-100
265,154,-100
266,154,-100
267,154,-100
268,154,-100
269,154,-100
270,154,-100
271,154,-100
272,154,-100
273,154,-100
274,154,-100
238,155,-100
239,155,-100
240,155,-100
241,155,-100
242,155,-100
243,155,-100
244,155,-100
245,155,-100
246,155,-100
247,155,-100
248,155,-100
249,155,-100
250,155,-100
251,155,-100
252,155,0.833
253,155,0.832
254,155,0.822
255,155,0.825
256,155,0.831
257,155,0.840
258,155,0.823
259,155,0.825
260,155,0.829
261,155,0.831
262,155,0.835
263,155,-100
264,155,-100
265,155,-100
266,155,-100
267,155,-100
268,155,-100
269,155,-100
270,155,-100
271,155,-100
272,155,-100
273,155,-100
274,155,-100
238,156,-100
239,156,-100
240,156,-100
241,156,-100
242,156,-100
243,156,-100
244,156,-100
245,156,-100
246,156,-100
247,156,-100
248,156,-100
249,156,-100
250,156,-100
251,156,-100
252,156,0.819
253,156,0.809
254,156,0.806
255,156,0.821
256,156,0.829
257,156,0.837
258,156,0.813
259,156,0.820
260,156,0.824
261,156,0.832
262,156,0.840
263,156,-100
264,156,-100
265,156,-100
266,156,-100
267,156,-100
268,156,-100
269,156,-100
270,156,-100
271,156,-100
272,156,-100
273,156,-100
274,156,-100
238,157,-100
239,157,-100
240,157,-100
241,157,-100
242,157,-100
243,157,-100
244,157,-100
245,157,-100
246,157,-100
247,157,-100
248,157,-100
249,157,-100
250,157,-100
251,157,-100
252,157,0.819
253,157,0.809
254,157,0.806
