X,Y,Value
435,140,-100
436,140,-100
437,140,-100
438,140,-100
439,140,-100
440,140,-100
441,140,-100
442,140,-100
443,140,-100
444,140,-100
445,140,-100
446,140,-100
447,140,-100
448,140,-100
449,140,-100
450,140,-100
451,140,-100
452,140,-100
453,140,-100
454,140,-100
455,140,-100
456,140,-100
457,140,-100
458,140,-100
459,140,-100
460,140,-100
461,140,-100
462,140,-100
463,140,-100
464,140,-100
465,140,-100
466,140,-100
467,140,-100
468,140,-100
469,140,-100
470,140,-100
471,140,-100
435,141,-100
436,141,-100
437,141,-100
438,141,-100
439,141,-100
440,141,-100
441,141,-100
442,141,-100
443,141,-100
444,141,-100
445,141,-100
446,141,-100
447,141,-100
448,141,-100
449,141,-100
450,141,-100
451,141,-100
452,141,-100
453,141,-100
454,141,-100
455,141,-100
456,141,-100
457,141,-100
458,141,-100
459,141,-100
460,141,-100
461,141,-100
462,141,-100
463,141,-100
464,141,-100
465,141,-100
466,141,-100
467,141,-100
468,141,-100
469,141,-100
470,141,-100
471,141,-100
435,142,-100
436,142,-100
437,142,-100
438,142,-100
439,142,-100
440,142,-100
441,142,-100
442,142,-100
443,142,-100
444,142,-100
445,142,-100
446,142,-100
447,142,-100
448,142,-100
449,142,-100
450,142,-100
451,142,-100
452,142,-100
453,142,-100
454,142,-100
455,142,-100
456,142,-100
457,142,-100
458,142,-100
459,142,-100
460,142,-100
461,142,-100
462,142,-100
463,142,-100
464,142,-100
465,142,-100
466,142,-100
467,142,-100
468,142,-100
469,142,-100
470,142,-100
471,142,-100
435,143,-100
436,143,-100
437,143,-100
438,143,-100
439,143,-100
440,143,-100
441,143,-100
442,143,-100
443,143,-100
444,143,-100
445,143,-100
446,143,-100
447,143,-100
448,143,-100
449,143,-100
450,143,-100
451,143,-100
452,143,-100
453,143,-100
454,143,-100
455,143,-100
456,143,-100
457,143,-100
458,143,-100
459,143,-100
460,143,-100
461,143,-100
462,143,-100
463,143,-100
464,143,-100
465,143,-100
466,143,-100
467,143,-100
468,143,-100
469,143,-100
470,143,-100
471,143,-100
435,144,-100
436,144,-100
437,144,-100
438,144,-100
439,144,-100
440,144,-100
441,144,-100
442,144,-100
443,144,-100
444,144,-100
445,144,-100
446,144,-100
447,144,-100
448,144,-100
449,144,-100
450,144,-100
451,144,-100
452,144,-100
453,144,-100
454,144,-100
455,144,-100
456,144,-100
457,144,-100
458,144,-100
459,144,-100
460,144,-100
461,144,-100
462,144,-100
463,144,-100
464,144,-100
465,144,-100
466,144,-100
467,144,-100
468,144,-100
469,144,-100
470,144,-100
471,144,-100
435,145,-100
436,145,-100
437,145,-100
438,145,-100
439,145,-100
440,145,-100
441,145,-100
442,145,-100
443,145,-100
444,145,-100
445,145,-100
446,145,-100
447,145,-100
448,145,-100
449,145,-100
450,145,-100
451,145,-100
452,145,-100
453,145,-100
454,145,-100
455,145,-100
456,145,-100
457,145,-100
458,145,-100
459,145,-100
460,145,-100
461,145,-100
462,145,-100
463,145,-100
464,145,-100
465,145,-100
466,145,-100
467,145,-100
468,145,-100
469,145,-100
470,145,-100
471,145,-100
435,146,-100
436,146,-100
437,146,-100
438,146,-100
439,146,-100
440,146,-100
441,146,-100
442,146,-100
443,146,-100
444,146,-100
445,146,-100
446,146,-100
447,146,-100
448,146,-100
449,146,-100
450,146,-100
451,146,-100
452,146,-100
453,146,-100
454,146,-100
455,146,-100
456,146,-100
457,146,-100
458,146,-100
459,146,-100
460,146,-100
461,146,-100
462,146,-100
463,146,-100
464,146,-100
465,146,-100
466,146,-100
467,146,-100
468,146,-100
469,146,-100
470,146,-100
471,146,-100
435,147,-100
436,147,-100
437,147,-100
438,147,-100
439,147,-100
440,147,-100
441,147,-100
442,147,-100
443,147,-100
444,147,-100
445,147,-100
446,147,-100
447,147,-100
448,147,-100
449,147,-100
450,147,-100
451,147,-100
452,147,-100
453,147,-100
454,147,-100
455,147,-100
456,147,-100
457,147,-100
458,147,-100
459,147,-100
460,147,-100
461,147,-100
462,147,-100
463,147,-100
464,147,-100
465,147,-100
466,147,-100
467,147,-100
468,147,-100
469,147,-100
470,147,-100
471,147,-100
435,148,-100
436,148,-100
437,148,-100
438,148,-100
439,148,-100
440,148,-100
441,148,-100
442,148,-100
443,148,-100
444,148,-100
445,148,-100
446,148,-100
447,148,-100
448,148,-100
449,148,-100
450,148,-100
451,148,-100
452,148,-100
453,148,0.813
454,148,0.821
455,148,0.823
456,148,0.827
457,148,0.837
458,148,-100
459,148,-100
460,148,-100
461,148,-100
462,148,-100
463,148,-100
464,148,-100
465,148,-100
466,148,-100
467,148,-100
468,148,-100
469,148,-100
470,148,-100
471,148,-100
435,149,-100
436,149,-100
437,149,-100
438,149,-100
439,149,-100
440,149,-100
441,149,-100
442,149,-100
443,149,-100
444,149,-100
445,149,-100
446,149,-100
447,149,-100
448,149,-100
449,149,-100
450,149,-100
451,149,-100
452,149,-100
453,149,0.813
454,149,0.821
455,149,0.823
456,149,0.827
457,149,0.837
458,149,-100
459,149,-100
460,149,-100
461,149,-100
462,149,-100
463,149,-100
464,149,-100
465,149,-100
466,149,-100
467,149,-100
468,149,-100
469,149,-100
470,149,-100
471,149,-100
435,150,-100
436,150,-100
437,150,-100
438,150,-100
439,150,-100
440,150,-100
441,150,-100
442,150,-100
443,150,-100
444,150,-100
445,150,-100
446,150,-100
447,150,-100
448,150,-100
449,150,-100
450,150,-100
451,150,0.847
452,150,0.826
453,150,0.811
454,150,0.824
455,150,0.840
456,150,0.846
457,150,0.829
458,150,0.831
459,150,0.834
460,150,-100
461,150,-100
462,150,-100
463,150,-100
464,150,-100
465,150,-100
466,150,-100
467,150,-100
468,150,-100
469,150,-100
470,150,-100
471,150,-100
435,151,-100
436,151,-100
437,151,-100
438,151,-100
439,151,-100
440,151,-100
441,151,-100
442,151,-100
443,151,-100
444,151,-100
445,151,-100
446,151,-100
447,151,-100
448,151,-100
449,151,-100
450,151,-100
451,151,0.847
452,151,0.826
453,151,0.811
454,151,0.824
455,151,0.840
456,151,0.846
457,151,0.829
458,151,0.831
459,151,0.834
460,151,-100
461,151,-100
462,151,-100
463,151,-100
464,151,-100
465,151,-100
466,151,-100
467,151,-100
468,151,-100
469,151,-100
470,151,-100
471,151,-100
435,152,-100
436,152,-100
437,152,-100
438,152,-100
439,152,-100
440,152,-100
441,152,-100
442,152,-100
443,152,-100
444,152,-100
445,152,-100
446,152,-100
447,152,-100
448,152,-100
449,152,-100
450,152,0.834
451,152,0.838
452,152,0.833
453,152,0.822
454,152,0.824
455,152,0.847
456,152,0.853
457,152,0.836
458,152,0.824
459,152,0.845
460,152,0.826
461,152,-100
462,152,-100
463,152,-100
464,152,-100
465,152,-100
466,152,-100
467,152,-100
468,152,-100
469,152,-100
470,152,-100
471,152,-100
435,153,-100
436,153,-100
437,153,-100
438,153,-100
439,153,-100
440,153,-100
441,153,-100
442,153,-100
443,153,-100
444,153,-100
445,153,-100
446,153,-100
447,153,-100
448,153,-100
449,153,-100
450,153,0.834
451,153,0.838
452,153,0.833
453,153,0.822
454,153,0.824
455,153,0.847
456,153,0.853
457,153,0.836
458,153,0.824
459,153,0.845
460,153,0.826
461,153,-100
462,153,-100
463,153,-100
464,153,-100
465,153,-100
466,153,-100
467,153,-100
468,153,-100
469,153,-100
470,153,-100
471,153,-100
435,154,-100
436,154,-100
437,154,-100
438,154,-100
439,154,-100
440,154,-100
441,154,-100
442,154,-100
443,154,-100
444,154,-100
445,154,-100
446,154,-100
447,154,-100
448,154,-100
449,154,0.846
450,154,0.837
451,154,0.827
452,154,0.830
453,154,0.832
454,154,0.832
455,154,0.846
456,154,0.840
457,154,0.829
458,154,0.835
459,154,0.851
460,154,0.834
461,154,0.832
462,154,-100
463,154,-100
464,154,-100
465,154,-100
466,154,-100
467,154,-100
468,154,-100
469,154,-100
470,154,-100
471,154,-100
435,155,-100
436,155,-100
437,155,-100
438,155,-100
439,155,-100
440,155,-100
441,155,-100
442,155,-100
443,155,-100
444,155,-100
445,155,-100
446,155,-100
447,155,-100
448,155,-100
449,155,0.846
450,155,0.837
451,155,0.827
452,155,0.830
453,155,0.832
454,155,0.832
455,155,0.846
456,155,0.840
457,155,0.829
458,155,0.835
459,155,0.851
460,155,0.834
461,155,0.832
462,155,-100
463,155,-100
464,155,-100
465,155,-100
466,155,-100
467,155,-100
468,155,-100
469,155,-100
470,155,-100
471,155,-100
435,156,-100
436,156,-100
437,156,-100
438,156,-100
439,156,-100
440,156,-100
441,156,-100
442,156,-100
443,156,-100
444,156,-100
445,156,-100
446,156,-100
447,156,-100
448,156,0.826
449,156,0.822
450,156,0.840
451,156,0.824
452,156,0.824
453,156,0.836
454,156,0.832
455,156,0.828
456,156,0.825
457,156,0.829
458,156,0.845
459,156,0.847
460,156,0.827
461,156,0.820
462,156,0.832
463,156,-100
464,156,-100
465,156,-100
466,156,-100
467,156,-100
468,156,-100
469,156,-100
470,156,-100
471,156,-100
435,157,-100
436,157,-100
437,157,-100
438,157,-100
439,157,-100
440,157,-100
441,157,-100
442,157,-100
443,157,-100
444,157,-100
445,157,-100
446,157,-100
447,157,-100
448,157,0.826
449,157,0.822
450,157,0.840
451,157,0.824
452,157,0.824
453,157,0.836
454,157,0.832
455,157,0.828
456,157,0.825
457,157,0.829
458,157,0.845
459,157,0.847
460,157,0.827
461,157,0.820
462,157,0.832
463,157,-100
464,157,-100
465,157,-100
466,157,-100
467,157,-100
468,157,-100
469,157,-100
470,157,-100
471,157,-100
435,158,-100
436,158,-100
437,158,-100
438,158,-100
439,158,-100
440,158,-100
441,158,-100
442,158,-100
443,158,-100
444,158,-100
445,158,-100
446,158,-100
447,158,-100
448,158,0.831
449,158,0.826
450,158,0.836
451,158,0.822
452,158,0.818
453,158,0.824
454,158,0.821
455,158,0.818
456,158,0.833
457,158,0.838
458,158,0.839
459,158,0.840
460,158,0.830
461,158,0.824
462,158,0.830
463,158,-100
464,158,-100
465,158,-100
466,158,-100
467,158,-100
468,158,-100
469,158,-100
470,158,-100
471,158,-100
435,159,-100
436,159,-100
437,159,-100
438,159,-100
439,159,-100
440,159,-100
441,159,-100
442,159,-100
443,159,-100
444,159,-100
445,159,-100
446,159,-100
447,159,-100
448,159,0.831
449,159,0.826
450,159,0.836
451,159,0.822
452,159,0.818
453,159,0.824
454,159,0.821
455,159,0.818
456,159,0.833
457,159,0.838
458,159,0.839
459,159,0.840
460,159,0.830
461,159,0.824
462,159,0.830
463,159,-100
464,159,-100
465,159,-100
466,159,-100
467,159,-100
468,159,-100
469,159,-100
470,159,-100
471,159,-100
435,160,-100
436,160,-100
437,160,-100
438,160,-100
439,160,-100
440,160,-100
441,160,-100
442,160,-100
443,160,-100
444,160,-100
445,160,-100
446,160,-100
447,160,-100
448,160,0.806
449,160,0.826
450,160,0.831
451,160,0.835
452,160,0.828
453,160,0.825
454,160,0.834
455,160,0.835
456,160,0.826
457,160,0.832
458,160,0.832
459,160,0.834
460,160,0.841
461,160,0.834
462,160,0.835
463,160,-100
464,160,-100
465,160,-100
466,160,-100
467,160,-100
468,160,-100
469,160,-100
470,160,-100
471,160,-100
435,161,-100
436,161,-100
437,161,-100
438,161,-100
439,161,-100
440,161,-100
441,161,-100
442,161,-100
443,161,-100
444,161,-100
445,161,-100
446,161,-100
447,161,-100
448,161,0.806
449,161,0.826
450,161,0.831
451,161,0.835
452,161,0.828
453,161,0.825
454,161,0.834
455,161,0.835
456,161,0.826
457,161,0.832
458,161,0.832
459,161,0.834
460,161,0.841
461,161,0.834
462,161,0.835
463,161,-100
464,161,-100
465,161,-100
466,161,-100
467,161,-100
468,161,-100
469,161,-100
470,161,-100
471,161,-100
435,162,-100
436,162,-100
437,162,-100
438,162,-100
439,162,-100
440,162,-100
441,162,-100
442,162,-100
443,162,-100
444,162,-100
445,162,-100
446,162,-100
447,162,-100
448,162,0.827
449,162,0.839
450,162,0.850
451,162,0.843
452,162,0.837
453,162,0.834
454,162,0.832
455,162,0.842
456,162,0.837
457,162,0.828
458,162,0.836
459,162,0.832
460,162,0.823
461,162,0.839
462,162,0.848
463,162,-100
464,162,-100
465,162,-100
466,162,-100
467,162,-100
468,162,-100
469,162,-100
470,162,-100
471,162,-100
435,163,-100
436,163,-100
437,163,-100
438,163,-100
439,163,-100
440,163,-100
441,163,-100
442,163,-100
443,163,-100
444,163,-100
445,163,-100
446,163,-100
447,163,-100
448,163,0.827
449,163,0.839
450,163,0.850
451,163,0.843
452,163,0.837
453,163,0.834
454,163,0.832
455,163,0.842
456,163,0.837
457,163,0.828
458,163,0.836
459,163,0.832
460,163,0.823
461,163,0.839
462,163,0.848
463,163,-100
464,163,-100
465,163,-100
466,163,-100
467,163,-100
468,163,-100
469,163,-100
470,163,-100
471,163,-100
435,164,-100
436,164,-100
437,164,-100
438,164,-100
439,164,-100
440,164,-100
441,164,-100
442,164,-100
443,164,-100
444,164,-100
445,164,-100
446,164,-100
447,164,-100
448,164,-100
449,164,0.819
450,164,0.826
451,164,0.831
452,164,0.838
453,164,0.839
454,164,0.828
455,164,0.839
456,164,0.826
457,164,0.825
458,164,0.842
459,164,0.838
460,164,0.817
461,164,0.849
462,164,0.807
463,164,-100
464,164,-100
465,164,-100
466,164,-100
467,164,-100
468,164,-100
469,164,-100
470,164,-100
471,164,-100
435,165,-100
436,165,-100
437,165,-100
438,165,-100
439,165,-100
440,165,-100
441,165,-100
442,165,-100
443,165,-100
444,165,-100
445,165,-100
446,165,-100
447,165,-100
448,165,-100
449,165,0.819
450,165,0.826
451,165,0.831
452,165,0.838
453,165,0.839
454,165,0.828
455,165,0.839
456,165,0.826
457,165,0.825
458,165,0.842
459,165,0.838
460,165,0.817
461,165,0.849
462,165,0.807
463,165,-100
464,165,-100
465,165,-100
466,165,-100
467,165,-100
468,165,-100
469,165,-100
470,165,-100
471,165,-100
435,166,-100
436,166,-100
437,166,-100
438,166,-100
439,166,-100
440,166,-100
441,166,-100
442,166,-100
443,166,-100
444,166,-100
445,166,-100
446,166,-100
447,166,-100
448,166,-100
449,166,-100
450,166,0.809
451,166,0.820
452,166,0.821
453,166,0.826
454,166,0.829
455,166,0.837
456,166,0.844
457,166,0.845
458,166,0.843
459,166,0.827
460,166,0.810
461,166,0.825
462,166,-100
463,166,-100
464,166,-100
465,166,-100
466,166,-100
467,166,-100
468,166,-100
469,166,-100
470,166,-100
471,166,-100
435,167,-100
436,167,-100
437,167,-100
438,167,-100
439,167,-100
440,167,-100
441,167,-100
442,167,-100
443,167,-100
444,167,-100
445,167,-100
446,167,-100
447,167,-100
448,167,-100
449,167,-100
450,167,0.809
451,167,0.820
452,167,0.821
453,167,0.826
454,167,0.829
455,167,0.837
456,167,0.844
457,167,0.845
458,167,0.843
459,167,0.827
460,167,0.810
461,167,0.825
462,167,-100
463,167,-100
464,167,-100
465,167,-100
466,167,-100
467,167,-100
468,167,-100
469,167,-100
470,167,-100
471,167,-100
435,168,-100
436,168,-100
437,168,-100
438,168,-100
439,168,-100
440,168,-100
441,168,-100
442,168,-100
443,168,-100
444,168,-100
445,168,-100
446,168,-100
447,168,-100
448,168,-100
449,168,-100
450,168,-100
451,168,0.819
452,168,0.844
453,168,0.841
454,168,0.818
455,168,0.811
456,168,0.830
457,168,0.835
458,168,0.828
459,168,0.821
460,168,0.854
461,168,-100
462,168,-100
463,168,-100
464,168,-100
465,168,-100
466,168,-100
467,168,-100
468,168,-100
469,168,-100
470,168,-100
471,168,-100
435,169,-100
436,169,-100
437,169,-100
438,169,-100
439,169,-100
440,169,-100
441,169,-100
442,169,-100
443,169,-100
444,169,-100
445,169,-100
446,169,-100
447,169,-100
448,169,-100
449,169,-100
450,169,-100
451,169,0.819
452,169,0.844
453,169,0.841
454,169,0.818
455,169,0.811
456,169,0.830
457,169,0.835
458,169,0.828
459,169,0.821
460,169,0.854
461,169,-100
462,169,-100
463,169,-100
464,169,-100
465,169,-100
466,169,-100
467,169,-100
468,169,-100
469,169,-100
470,169,-100
471,169,-100
435,170,-100
436,170,-100
437,170,-100
438,170,-100
439,170,-100
440,170,-100
441,170,-100
442,170,-100
443,170,-100
444,170,-100
445,170,-100
446,170,-100
447,170,-100
448,170,-100
449,170,-100
450,170,-100
451,170,-100
452,170,-100
453,170,-100
454,170,-100
455,170,0.840
456,170,0.831
457,170,0.823
458,170,-100
459,170,-100
460,170,-100
461,170,-100
462,170,-100
463,170,-100
464,170,-100
465,170,-100
466,170,-100
467,170,-100
468,170,-100
469,170,-100
470,170,-100
471,170,-100
435,171,-100
436,171,-100
437,171,-100
438,171,-100
439,171,-100
440,171,-100
441,171,-100
442,171,-100
443,171,-100
444,171,-100
445,171,-100
446,171,-100
447,171,-100
448,171,-100
449,171,-100
450,171,-100
451,171,-100
452,171,-100
453,171,-100
454,171,-100
455,171,0.840
456,171,0.831
457,171,0.823
458,171,-100
459,171,-100
460,171,-100
461,171,-100
462,171,-100
463,171,-100
464,171,-100
465,171,-100
466,171,-100
467,171,-100
468,171,-100
469,171,-100
470,171,-100
471,171,-100
435,172,-100
436,172,-100
437,172,-100
438,172,-100
439,172,-100
440,172,-100
441,172,-100
442,172,-100
443,172,-100
444,172,-100
445,172,-100
446,172,-100
447,172,-100
448,172,-100
449,172,-100
450,172,-100
451,172,-100
452,172,-100
453,172,-100
454,172,-100
455,172,-100
456,172,-100
457,172,-100
458,172,-100
459,172,-100
460,172,-100
461,172,-100
462,172,-100
463,172,-100
464,172,-100
465,172,-100
466,172,-100
467,172,-100
468,172,-100
469,172,-100
470,172,-100
471,172,-100
435,173,-100
436,173,-100
437,173,-100
438,173,-100
439,173,-100
440,173,-100
441,173,-100
442,173,-100
443,173,-100
444,173,-100
445,173,-100
446,173,-100
447,173,-100
448,173,-100
449,173,-100
450,173,-100
451,173,-100
452,173,-100
453,173,-100
454,173,-100
455,173,-100
456,173,-100
457,173,-100
458,173,-100
459,173,-100
460,173,-100
461,173,-100
462,173,-100
463,173,-100
464,173,-100
465,173,-100
466,173,-100
467,173,-100
468,173,-100
469,173,-100
470,173,-100
471,173,-100
435,174,-100
436,174,-100
437,174,-100
438,174,-100
439,174,-100
440,174,-100
441,174,-100
442,174,-100
443,174,-100
444,174,-100
445,174,-100
446,174,-100
447,174,-100
448,174,-100
449,174,-100
450,174,-100
451,174,-100
452,174,-100
453,174,-100
454,174,-100
455,174,-100
456,174,-100
457,174,-100
458,174,-100
459,174,-100
460,174,-100
461,174,-100
462,174,-100
463,174,-100
464,174,-100
465,174,-100
466,174,-100
467,174,-100
468,174,-100
469,174,-100
470,174,-100
471,174,-100
435,175,-100
436,175,-100
437,175,-100
438,175,-100
439,175,-100
440,175,-100
441,175,-100
442,175,-100
443,175,-100
444,175,-100
445,175,-100
446,175,-100
447,175,-100
448,175,-100
449,175,-100
450,175,-100
451,175,-100
452,175,-100
453,175,-100
454,175,-100
455,175,-100
456,175,-100
457,175,-100
458,175,-100
459,175,-100
460,175,-100
461,175,-100
462,175,-100
463,175,-100
464,175,-100
465,175,-100
466,175,-100
467,175,-100
468,175,-100
469,175,-100
470,175,-100
471,175,-100
435,176,-100
436,176,-100
437,176,-100
438,176,-100
439,176,-100
440,176,-100
441,176,-100
442,176,-100
443,176,-100
444,176,-100
445,176,-100
446,176,-100
447,176,-100
448,176,-100
449,176,-100
450,176,-100
451,176,-100
452,176,-100
453,176,-100
454,176,-100
455,176,-100
456,176,-100
457,176,-100
458,176,-100
459,176,-100
460,176,-100
461,176,-100
462,176,-100
463,176,-100
464,176,-100
465,176,-100
466,176,-100
467,176,-100
468,176,-100
469,176,-100
470,176,-100
471,176,-100
435,177,-100
436,177,-100
437,177,-100
438,177,-100
439,177,-100
440,177,-100
441,177,-100
442,177,-100
443,177,-100
444,177,-100
445,177,-100
446,177,-100
447,177,-100
448,177,-100
449,177,-100
450,177,-100
451,177,-100
452,177,-100
453,177,-100
454,177,-100
455,177,-100
456,177,-100
457,177,-100
458,177,-100
459,177,-100
460,177,-100
461,177,-100
462,177,-100
463,177,-100
464,177,-100
465,177,-100
466,177,-100
467,177,-100
468,177,-100
469,177,-100
470,177,-100
471,177,-100
435,178,-100
436,178,-100
437,178,-100
438,178,-100
439,178,-100
440,178,-100
441,178,-100
442,178,-100
443,178,-100
444,178,-100
445,178,-100
446,178,-100
447,178,-100
448,178,-100
449,178,-100
450,178,-100
451,178,-100
452,178,-100
453,178,-100
454,178,-100
455,178,-100
456,178,-100
457,178,-100
458,178,-100
459,178,-100
460,178,-100
461,178,-100
462,178,-100
463,178,-100
464,178,-100
465,178,-100
466,178,-100
467,178,-100
468,178,-100
469,178,-100
470,178,-100
471,178,-100
435,179,-100
436,179,-100
437,179,-100
438,179,-100
439,179,-100
440,179,-100
441,179,-100
442,179,-100
443,179,-100
444,179,-100
445,179,-100
446,179,-100
447,179,-100
448,179,-100
449,179,-100
450,179,-100
451,179,-100
452,179,-100
453,179,-100
454,179,-100
455,179,-100
456,179,-100
457,179,-100
458,179,-100
459,179,-100
460,179,-100
461,179,-100
462,179,-100
463,179,-100
464,179,-100
465,179,-100
466,179,-100
467,179,-100
468,179,-100
469,179,-100
470,179,-100
471,179,-100
435,180,-100
436,180,-100
437,180,-100
438,180,-100
439,180,-100
440,180,-100
441,180,-100
442,180,-100
443,180,-100
444,180,-100
445,180,-100
